playerID,yearID,teamID,round,position,f_G,f_GS,f_InnOuts,f_PO,f_A,f_E,f_DP,f_TP,f_PB
aaronha01,1957,ML1,WS,CF,7,7,186,11,0,0,0,0,NULL
aaronha01,1958,ML1,WS,CF,1,1,21,2,0,0,0,0,NULL
aaronha01,1958,ML1,WS,RF,7,6,168,13,0,0,0,0,NULL
aaronha01,1969,ATL,NLCS,RF,3,3,78,5,1,0,0,0,NULL
aasedo01,1979,CAL,ALCS,P,2,0,15,0,1,0,0,0,NULL
abadfe01,2014,OAK,ALWC,P,1,0,1,0,0,0,0,0,NULL
abbotgl01,1975,OAK,ALCS,P,1,0,3,0,0,0,0,0,NULL
abbotje01,2000,CHA,ALDS2,CF,1,0,9,1,0,0,0,0,NULL
abbotku01,1997,FLO,NLCS,2B,2,2,51,4,1,0,0,0,NULL
abbotku01,1997,FLO,NLDS1,2B,2,2,33,3,6,0,2,0,NULL
abbotku01,2000,NYN,NLCS,SS,2,1,24,1,0,1,0,0,NULL
abbotku01,2000,NYN,NLDS2,SS,1,0,12,0,0,0,0,0,NULL
abbotku01,2000,NYN,WS,SS,5,1,56,3,5,0,2,0,NULL
abbotpa01,2000,SEA,ALCS,P,1,1,15,0,1,0,0,0,NULL
abbotpa01,2000,SEA,ALDS2,P,1,1,17,0,1,0,0,0,NULL
abbotpa01,2001,SEA,ALCS,P,1,1,15,0,2,0,0,0,NULL
abbotpa01,2001,SEA,ALDS1,P,1,0,9,0,0,0,0,0,NULL
abreubo01,2006,NYA,ALDS1,RF,4,4,102,4,0,0,0,0,NULL
abreubo01,2007,NYA,ALDS2,RF,4,4,110,7,0,0,0,0,NULL
abreubo01,2009,LAA,ALCS,RF,6,6,172,13,0,1,0,0,NULL
abreubo01,2009,LAA,ALDS2,RF,3,3,81,8,0,0,0,0,NULL
abreubr01,2019,HOU,ALCS,P,1,0,2,0,0,0,0,0,NULL
abreubr01,2022,HOU,ALCS,P,3,0,9,0,0,0,0,0,NULL
abreubr01,2022,HOU,ALDS2,P,3,0,10,0,0,0,0,0,NULL
abreubr01,2022,HOU,WS,P,4,0,15,0,0,0,0,0,NULL
abreubr01,2023,HOU,ALCS,P,4,0,12,0,0,0,0,0,NULL
abreubr01,2023,HOU,ALDS2,P,1,0,4,0,0,0,0,0,NULL
abreujo02,2020,CHA,ALWC4,1B,3,3,75,21,1,0,1,0,NULL
abreujo02,2021,CHA,ALDS1,1B,3,3,78,16,3,0,2,0,NULL
abreujo02,2023,HOU,ALCS,1B,4,4,108,32,1,0,2,0,NULL
abreujo02,2023,HOU,ALDS2,1B,2,2,54,16,1,0,3,0,NULL
abstebi01,1909,PIT,WS,1B,7,7,183,70,4,5,3,0,NULL
aceveal01,2009,NYA,ALCS,P,2,0,4,0,1,0,0,0,NULL
aceveal01,2009,NYA,ALDS1,P,1,0,3,0,0,0,0,0,NULL
aceveal01,2009,NYA,WS,P,1,0,6,0,0,0,0,0,NULL
ackerji01,1985,TOR,ALCS,P,2,0,18,0,1,0,0,0,NULL
ackerji01,1989,TOR,ALCS,P,5,0,19,1,1,0,0,0,NULL
ackerji01,1991,TOR,ALCS,P,1,0,2,0,0,0,0,0,NULL
acunaro01,2018,ATL,NLDS2,LF,4,4,102,6,0,1,0,0,NULL
acunaro01,2019,ATL,NLDS2,CF,5,5,137,11,0,0,0,0,NULL
acunaro01,2020,ATL,NLCS,CF,1,1,9,0,0,0,0,0,NULL
acunaro01,2020,ATL,NLCS,RF,7,6,162,14,0,0,0,0,NULL
acunaro01,2020,ATL,NLDS2,CF,3,3,81,4,0,0,0,0,NULL
acunaro01,2020,ATL,NLWC4,CF,2,2,66,1,0,0,0,0,NULL
acunaro01,2022,ATL,NLDS1,RF,4,4,102,5,0,0,0,0,NULL
acunaro01,2023,ATL,NLDS1,RF,4,4,102,10,0,0,0,0,NULL
adairje01,1967,BOS,WS,2B,4,4,102,7,12,0,1,0,NULL
adamewi01,2019,TBA,ALDS1,SS,5,5,123,6,13,1,2,0,NULL
adamewi01,2019,TBA,ALWC,SS,1,1,27,3,2,0,0,0,NULL
