park_alias,parkID,park_name,city,state,country
NULL,ALB01,Riverside Park,Albany,NY,US
NULL,ALT01,Columbia Park,Altoona,PA,US
Edison Field; Anaheim Stadium,ANA01,Angel Stadium of Anaheim,Anaheim,CA,US
NULL,ARL01,Arlington Stadium,Arlington,TX,US
The Ballpark in Arlington; Ameriquest Fl,ARL02,Rangers Ballpark in Arlington,Arlington,TX,US
NULL,ATL01,Atlanta-Fulton County Stadium,Atlanta,GA,US
NULL,ATL02,Turner Field,Atlanta,GA,US
NULL,ATL03,Suntrust Park,Atlanta,GA,US
NULL,BAL01,Madison Avenue Grounds,Baltimore,MD,US
NULL,BAL02,Newington Park,Baltimore,MD,US
NULL,BAL03,Oriole Park I,Baltimore,MD,US
NULL,BAL04,Belair Lot,Baltimore,MD,US
NULL,BAL05,Monumental Park,Baltimore,MD,US
NULL,BAL06,Oriole Park II,Baltimore,MD,US
NULL,BAL07,Oriole Park III,Baltimore,MD,US
American League Park,BAL09,Oriole Park IV,Baltimore,MD,US
Oriole Park V,BAL10,Terrapin Park,Baltimore,MD,US
NULL,BAL11,Memorial Stadium,Baltimore,MD,US
NULL,BAL12,Oriole Park at Camden Yards,Baltimore,MD,US
Walpole Street Grounds,BOS01,South End Grounds I,Boston,MA,US
Union Park,BOS02,Dartmouth Grounds,Boston,MA,US
NULL,BOS03,South End Grounds II,Boston,MA,US
NULL,BOS04,Congress Street Grounds,Boston,MA,US
NULL,BOS05,South End Grounds III,Boston,MA,US
NULL,BOS06,Huntington Avenue Baseball Grounds,Boston,MA,US
NULL,BOS07,Fenway Park,Boston,MA,US
Bee Hive,BOS08,Braves Field,Boston,MA,US
NULL,BUF01,Riverside Grounds,Buffalo,NY,US
NULL,BUF02,Olympic Park I,Buffalo,NY,US
NULL,BUF03,Olympic Park II,Buffalo,NY,US
Federal League Park,BUF04,International Fair Association Grounds,Buffalo,NY,US
Pastime Park,CAN01,Mahaffey Park,Canton,OH,US
NULL,CAN02,Pastime Park,Canton,OH,US
Union Base-ball Grounds,CHI01,Lake Front Park I,Chicago,IL,US
NULL,CHI02,23rd Street Park,Chicago,IL,US
NULL,CHI03,Lake Front Park II,Chicago,IL,US
Cricket Club Grounds; Union Grounds,CHI05,South Side Park I,Chicago,IL,US
NULL,CHI06,West Side Park,Chicago,IL,US
NULL,CHI07,South Side Park II,Chicago,IL,US
NULL,CHI08,West Side Grounds,Chicago,IL,US
NULL,CHI09,South Side Park III,Chicago,IL,US
White Sox Park,CHI10,Comiskey Park I,Chicago,IL,US
Weeghman Park; Cubs Park,CHI11,Wrigley Field,Chicago,IL,US
U.S. Cellular Field;White Sox Park; Comiskey Park II,CHI12,Guaranteed Rate Field,Chicago,IL,US
Union Cricket Club Grounds,CIN01,Lincoln Park Grounds,Cincinnati,OH,US
NULL,CIN02,Avenue Grounds,Cincinnati,OH,US
NULL,CIN03,Bank Street Grounds,Cincinnati,OH,US
NULL,CIN04,League Park I,Cincinnati,OH,US
NULL,CIN05,League Park II,Cincinnati,OH,US
League Park III,CIN06,Palace of the Fans,Cincinnati,OH,US
Redland Field,CIN07,Crosley Field,Cincinnati,OH,US
Riverfront Stadium,CIN08,Cinergy Field,Cincinnati,OH,US
NULL,CIN09,Great American Ballpark,Cincinnati,OH,US
NULL,CLE01,National Association Grounds,Cleveland,OH,US
Kennard Street Park,CLE02,League Park I,Cleveland,OH,US
