schoolID,school_name,school_city,school_state,school_country,NULL
abilchrist,Abilene Christian University,Abilene,TX,USA,NULL
adelphi,Adelphi University,Garden City,NY,USA,NULL
adrianmi,Adrian College,Adrian,MI,USA,NULL
akron,University of Akron,Akron,OH,USA,NULL
alabama,University of Alabama,Tuscaloosa,AL,USA,NULL
alabamaam,Alabama A&M University,Normal,AL,USA,NULL
alabamast,Alabama State University,Montgomery,AL,USA,NULL
albanyst,Albany State University,Albany,GA,USA,NULL
albertsnid,Albertson College,Caldwell,ID,USA,NULL
albevil,Bevill State Community College,Sumiton,AL,USA,NULL
albionmi,Albion College,Albion,MI,USA,NULL
albrightpa,Albright College,Reading,PA,USA,NULL
alcalho,Calhoun Community College,Decatur,AL,USA,NULL
alchatt,Chattahoochee Valley Community College,Phenix City,AL,USA,NULL
alcornst,Alcorn State University,Lorman,MS,USA,NULL
alenter,Enterprise-Ozark Community College,Enterprise,AL,USA,NULL
alfaulk,Faulkner University,Montgomery,AL,USA,NULL
alfscco,Faulkner State College,Bay Minette,AL,USA,NULL
algadsd,Gadsden State Community College,Gadsden,AL,USA,NULL
aljeffd,Jefferson Davis Community College,Brewton,AL,USA,NULL
allegheny,Allegheny College,Meadville,PA,USA,NULL
allurle,Lurleen B Wallace Community College,Andalusia,AL,USA,NULL
almami,Alma College,Alma,MI,USA,NULL
almario,Marion Military Institute,Marion,AL,USA,NULL
almiles,Miles College,Fairfield,AL,USA,NULL
alnorth,Northwest-Shoals Community College,Muscle Shoals,AL,USA,NULL
alsuscc,Southern Union State Community College,Wadley,AL,USA,NULL
alverniapa,Alvernia College,Reading,PA,USA,NULL
alwsdot,Wallace State Community College (Dothan),Dothan,AL,USA,NULL
alwshan,Wallace State Community College (Hanceville),Hanceville,AL,USA,NULL
american,American University,Washington,DC,USA,NULL
amerintl,American International University,Springfield,MA,USA,NULL
amherstma,Amherst College,Amherst,MA,USA,NULL
andersonsc,Anderson College,Anderson,SC,USA,NULL
appalst,Appalachian State University,Boone,NC,USA,NULL
aquinasmi,Aquinas College,Grand Rapids,MI,USA,NULL
arftsmi,University of Arkansas-Fort Smith,Fort Smith,AR,USA,NULL
arizona,University of Arizona,Tucson,AZ,USA,NULL
arizonast,Arizona State University,Tempe,AZ,USA,NULL
arkansas,University of Arkansas,Fayetteville,AR,USA,NULL
arkansaslr,University of Arkansas at Little Rock,Little Rock,AR,USA,NULL
arkansaspb,University of Arkansas at Pine Bluff,Pine Bluff,AR,USA,NULL
arkansasst,Arkansas State University,Jonesboro,AR,USA,NULL
arkmont,University of Arkansas at Monticello,Monticello,AR,USA,NULL
arktech,Arkansas Tech University,Russellville,AR,USA,NULL
armstratl,Armstrong Atlantic State University,Savannah,GA,USA,NULL
army,United States Military Academy,West Point,NY,USA,NULL
arnorth,North Arkansas College,Bentonville,AR,USA,NULL
ashland,Ashland University,Ashland,OH,USA,NULL
athensst,Athens State University,Athens,AL,USA,NULL
auburn,Auburn University,Auburn,AL,USA,NULL
auburnmont,Auburn University at Montgomery,Montgomery,AL,USA,NULL
augsburgmn,Augsburg College,Minneapolis,MN,USA,NULL
austincol,Austin College,Sherman,TX,USA,NULL
austinpeay,Austin Peay State University,Clarksville,TN,USA,NULL
azcentr,Central Arizona College,Coolidge,AZ,USA,NULL
azchand,Chandler-Gilbert Community College,Chandler,AZ,USA,NULL
azcochi,Cochise Community College,Douglas,AZ,USA,NULL
azmescc,Mesa Community College,Mesa,AZ,USA,NULL
azphoen,Phoenix College,Phoenix,AZ,USA,NULL
azpimcc,Pima Community College,Tucson,AZ,USA,NULL
azscott,Scottsdale Community College,Scottsdale,AZ,USA,NULL
azsouth,South Mountain Community College,Phoenix,AZ,USA,NULL
azusapac,Azusa Pacific University,Azusa,CA,USA,NULL
azweste,Arizona Western College,Yuma,AZ,USA,NULL
azyavap,Yavapai College,Prescott,AZ,USA,NULL
baconeok,Bacone College,Muskogee,OK,USA,NULL
bakerks,Baker University,Baldwin City,KS,USA,NULL
baldwalloh,Baldwin-Wallace College,Berea,OH,USA,NULL
ballst,Ball State University,Muncie,IN,USA,NULL
bartonnc,Barton College,Wilson,NC,USA,NULL
baruchcuny,Bernard M Baruch College,New York,NY,USA,NULL
batesme,Bates College,Lewiston,ME,USA,NULL
baylor,Baylor University,Waco,TX,USA,NULL
belmont,Belmont University,Nashville,TN,USA,NULL
belmontab,Belmont Abbey College,Belmont,NC,USA,NULL
beloitwi,Beloit College,Beloit,WI,USA,NULL
benedctnks,Benedictine College,Atchison,KS,USA,NULL
bethanywv,Bethany College,Bethany,WV,USA,NULL
bethcook,Bethune-Cookman College,Daytona Beach,FL,USA,NULL
betheltn,Bethel College,McKenzie,TN,USA,NULL
biolaca,Biola University,La Mirada,CA,USA,NULL
birmsouth,Birmingham-Southern College,Birmingham,AL,USA,NULL
blackbrnil,Blackburn College,Carlinville,IL,USA,NULL
bloomsburg,Bloomsburg University of Pennsylvania,Bloomsburg,PA,USA,NULL
bluefield,Bluefield College,Bluefield,VA,USA,NULL
boisest,Boise State University,Boise,ID,USA,NULL
bostoncoll,Boston College,Chestnut Hill,MA,USA,NULL
bostonuniv,Boston University,Boston,MA,USA,NULL
bowdoinme,Bowdoin College,Brunswick,ME,USA,NULL
bowlgreen,Bowling Green State University,Bowling Green,OH,USA,NULL
bradley,Bradley University,Peoria,IL,USA,NULL
brandeisma,Brandeis University,Waltham,MA,USA,NULL
brdgwatrva,Bridgewater College,Bridgewater,VA,USA,NULL
brewparker,Brewton-Parker College,Mount Vernon,GA,USA,NULL
bridgeport,University of Bridgeport,Bridgeport,CT,USA,NULL
bridgwtrst,Bridgewater State College,Bridgewater,MA,USA,NULL
brklyncuny,Brooklyn College, The City University of New York,Brooklyn,NY,USA
brown,Brown University,Providence,RI,USA,NULL
bryant,Bryant College,Smithfield,RI,USA,NULL
bucknell,Bucknell University,Lewisburg,PA,USA,NULL
buenavista,Buena Vista University,Storm Lake,IA,USA,NULL
buffalost,Buffalo State College,Buffalo,NY,USA,NULL
butler,Butler University,Indianapolis,IN,USA,NULL
byu,Brigham Young University,Provo,UT,USA,NULL
caallan,Allan Hancock College,Santa Maria,CA,USA,NULL
caameri,American River College,Sacramento,CA,USA,NULL
caantel,Antelope Valley College,Lancaster,CA,USA,NULL
cabakjc,Bakersfield College,Bakersfield,CA,USA,NULL
cabarst,Barstow Community College,Barstow,CA,USA,NULL
cabutte,Butte College,Oroville,CA,USA,NULL
cacabri,Cabrillo College,Aptos,CA,USA,NULL
cacanad,Canada College,Redwood City,CA,USA,NULL
cacanyo,College of the Canyons,Santa Clarita,CA,USA,NULL
cacerri,Cerritos College,Norwalk,CA,USA,NULL
cachabo,Chabot College,Hayward,CA,USA,NULL
cachaff,Chaffey College,Rancho Cucamonga,CA,USA,NULL
cacitru,Citrus College,Glendora,CA,USA,NULL
cacompt,Compton Community College,Compton,CA,USA,NULL
cacontr,Contra Costa College,San Pablo,CA,USA,NULL
cacosum,Cosumnes River College,Sacramento,CA,USA,NULL
cacsmat,College of San Mateo,San Mateo,CA,USA,NULL
cacuest,Cuesta College,San Luis Obispo,CA,USA,NULL
cacypre,Cypress College,Cypress,CA,USA,NULL
cadeanz,DeAnza College,Cupertino,CA,USA,NULL
cadiabl,Diablo Valley College,Pleasant Hill,CA,USA,NULL
caelajc,East Los Angeles College,Monterey Park,CA,USA,NULL
caelcam,El Camino College,Torrance,CA,USA,NULL
cafeath,Feather River College,Quincy,CA,USA,NULL
cafooth,Foothill College,Los Altos Hills,CA,USA,NULL
cafrecc,Fresno City College,Fresno,CA,USA,NULL
cafrepa,Fresno Pacific University,Fresno,CA,USA,NULL
cafulle,Fullerton College,Fullerton,CA,USA,NULL
cagavil,Gavilan College,Gilroy,CA,USA,NULL
caglend,Glendale Community College,Glendale,CA,USA,NULL
cagolde,Golden West College,Huntington Beach,CA,USA,NULL
caharbo,Los Angeles Harbor College,Wilmington,CA,USA,NULL
cahartn,Hartnell College,Salinas,CA,USA,NULL
caimper,Imperial Valley College,Imperial,CA,USA,NULL
calacco,Los Angeles City College,Los Angeles,CA,USA,NULL
calamjc,Los Angeles Mission College,Sylmar,CA,USA,NULL
calaney,Laney College,Oakland,CA,USA,NULL
calasse,Lassen College,Susanville,CA,USA,NULL
calavco,Los Angeles Valley College,Los Angeles,CA,USA,NULL
california,University of California, Berkeley,Berkeley,CA,USA
calipa,California University of Pennsylvania,California,PA,USA,NULL
calobcc,Long Beach City College,Long Beach,CA,USA,NULL
calpoly,California Polytechnic State University, San Luis Obispo,San Luis Obispo,CA,USA
calpolypom,California Polytechnic State University, Pomona,Pomona,CA,USA
calstfull,California State University Fullerton,Fullerton,CA,USA,NULL
calstla,California State University Los Angeles,Los Angeles,CA,USA,NULL
calstnorth,California State University Northridge,Los Angeles,CA,USA,NULL
calutheran,California Lutheran University,Thousand Oaks,CA,USA,NULL
camarin,College of Marin,Kentfield,CA,USA,NULL
camendo,Mendocino College,Ukiah,CA,USA,NULL
camenlo,Menlo College,Atherton,CA,USA,NULL
camerce,Merced College,Merced,CA,USA,NULL
cameronok,Cameron University,Lawton,OK,USA,NULL
camerri,Merritt College,Oakland,CA,USA,NULL
